claim_id	question	estimand	primary_source	candidate_output	required_seal	status
C1	Can each profiler detect implanted taxa?	Detection probability by exact implanted fraction and profiler	models/detection_{population}/detection_probability_curve.tsv	figures/detection_probability	cohort definitive run	IMPLEMENTED
C2	Does reported abundance scale proportionally with implanted reads?	Observed/expected response slope and residual by profiler	models/continuous_{population}/profiler_response_slopes.tsv	figures/calibration_response_ratio	cohort definitive run	IMPLEMENTED
C3	Is the implanted taxon recovered as an artificial biomarker?	Recall, precision, and minimum sustained detected dose	models/artificial_pooled/evaluation/biomarker_propagation_metrics.tsv	figures/artificial_target_recall	cohort definitive run	IMPLEMENTED
C4	Does implantation create off-target discoveries?	Number and identity of enriched non-target taxa	models/artificial_pooled/models/paired_da_results.tsv	figures/off_target_discovery_burden	cohort definitive run	IMPLEMENTED
C5	Are native disease biomarkers stable after controlled perturbation?	Retention, Jaccard similarity, losses, and gains versus matched baseline	models/disease/evaluation/disease_biomarker_propagation_metrics.tsv	figures/disease_biomarker_retention	cohort definitive run	IMPLEMENTED
C6	Are disease-marker changes consistent across cohorts?	Cohort-specific effects and REML/Hartung-Knapp synthesis	cross_cohort_synthesis/results/random_effects_meta_analysis.tsv	tables/cross_cohort_disease_meta_analysis.tsv	three definitive cohort runs	IMPLEMENTED
C7	Does quantitative calibration explain artificial-marker behavior?	Response ratio versus target effect and off-target burden	reports/calibration_linkage/figure_source/calibration_biomarker_linkage.tsv	figures/calibration_response_ratio	cohort definitive run	IMPLEMENTED
C8	Does source-assembly quality affect conclusions for Pana/Pint?	Paired clean-minus-original detection, response, biomarker, and off-target differences	models/assembly_sensitivity/reports/assembly_sensitivity	assembly-sensitivity supplementary figures	assembly-sensitivity experiment seal	IMPLEMENTED
C9	Do independent and community perturbations agree?	Separate population estimates and cross-population qualitative consistency	all cohort model/report outputs	facets labelled independent/community	cohort definitive run	IMPLEMENTED
C10	Are publication figures traceable and reproducible?	One-to-one mapping of figure to preserved TSV and checksum	three-cohort publication report	provenance/publication_report.sha256	all upstream and downstream seals	IMPLEMENTED
